Date,Open,High,Low,Close,Volume,Change
2007-01-02,154064,155562,152566,154050,311690,0.0
2007-01-03,154062,155560,152563,155545,317370,0.009704641350210874
2007-01-04,155560,157043,152563,155545,296656,0.0
2007-01-05,155550,155550,151055,152554,290634,-0.019229161978848608
2007-01-08,152554,154052,149557,152554,252621,0.0
2007-01-09,152556,154054,151058,151059,220232,-0.009799808592367287
2007-01-10,151058,152556,149559,151059,226640,0.0
2007-01-11,151063,172011,151063,164519,3122000,0.08910425727695803
2007-01-12,166023,166023,158545,161528,575602,-0.018180270971741908
2007-01-15,161536,163034,155558,157041,603900,-0.027778465653013673
2007-01-16,161542,163040,158545,161528,753201,0.028572156315866515
2007-01-17,164532,164532,157041,157041,477263,-0.027778465653013673
2007-01-18,155558,167514,154058,157041,1151791,0.0
2007-01-19,157043,158541,152563,155545,487821,-0.009526174693233025
2007-01-22,154064,157046,152566,154050,464272,-0.009611366485582917
2007-01-23,152563,155560,152563,155545,348080,0.009704641350210874
2007-01-24,154062,157043,154062,155545,454050,0.0
2007-01-25,157046,158545,154064,154050,245120,-0.009611366485582917
2007-01-26,154052,155550,152554,152554,288436,-0.009711132749107398
2007-01-29,155560,157043,154062,155545,248756,0.01960617224064931
2007-01-30,155562,155562,152566,154050,212740,-0.009611366485582917
2007-01-31,154062,157043,154062,155545,259360,0.009704641350210874
2007-02-01,157046,157046,152566,154050,307450,-0.009611366485582917
2007-02-02,154062,157043,154062,155545,251070,0.009704641350210874
2007-02-05,155558,158539,155558,157041,287159,0.00961779549326569
2007-02-06,157038,158536,155554,158537,288200,0.009526174693232914
2007-02-07,158540,169014,157042,164519,1348779,0.03773251669957167
2007-02-08,169008,188456,167510,183963,4906616,0.11818695712957172
2007-02-09,185458,210884,177982,201910,5412817,0.09755766105140706
2007-02-12,200408,200408,172001,177980,3236202,-0.11851815165172597
2007-02-13,186957,198928,170505,176485,2740030,-0.00839982020451735
2007-02-14,176490,179487,164534,164519,2076433,-0.06780179618664472
2007-02-15,167512,170509,163032,166015,1772995,0.009093174648520774
2007-02-16,164534,170512,161537,164519,1485372,-0.009011233924645312
2007-02-20,164535,176492,164535,171998,2162034,0.04545979491730434
2007-02-21,173510,177990,170513,171998,1386839,0.0
2007-02-22,173513,182473,169018,170502,1581450,-0.008697775555529752
2007-02-23,172011,176490,161537,164519,2293892,-0.03509049747217041
2007-02-26,164540,167521,160044,161528,2847965,-0.018180270971741908
2007-02-27,161530,163029,158534,160032,964382,-0.009261552176712429
2007-02-28,152566,157046,149569,154050,1088372,-0.037380023995200906
2007-03-02,154058,163034,154058,157041,1160706,0.019415774099318384
2007-03-05,157034,157034,152554,152554,944484,-0.028572156315866515
2007-03-06,152564,172013,152564,163023,9864786,0.06862488037022962
