name,before,during,after,long_after
삼호개발 X 이화공영,0.583683074,0.600005051,0.891718853,0.583683074
삼호개발 X 특수건설,0.929277144,0.80769269,0.931055355,0.929277144
삼호개발 X 홈센타홀딩스,0.280284175,0.634776811,0.373445037,0.280284175
삼호개발 X 동신건설,0.752281006,0.913082354,0.905823591,0.752281006
이화공영 X 특수건설,0.634477985,0.881882572,0.888877451,0.634477985
이화공영 X 홈센타홀딩스,0.656174029,0.925079905,0.195911978,0.656174029
이화공영 X 동신건설,0.796591469,0.700061798,0.893287639,0.796591469
특수건설 X 홈센타홀딩스,0.312858967,0.929480054,0.352330218,0.312858967
특수건설 X 동신건설,0.794729537,0.896370513,0.900057288,0.794729537
홈센타홀딩스 X 동신건설,0.548763087,0.767631259,0.379194621,0.548763087
