name,before,per_be,during,per_du,after,per_af,long_after,per_lo
우리들 X 바른손,0.968991383,96.89913826,0.26253428,26.25342804,0.905268615,90.52686152,0.916039079,91.6039079
우리들 X 조광,0.923609104,92.36091038,0.216809942,21.6809942,-0.147175629,-14.71756285,0.287118714,28.7118714
우리들 X 유성,0.698250402,69.82504021,0.094199885,9.419988503,0.71355271,71.35527099,0.569522525,56.95225249
우리들 X 신일,0.942310573,94.2310573,0.354199873,35.41998732,0.00443195569,0.443195569,0.582189312,58.2189312
바른손 X 조광,0.945597619,94.55976187,0.77397999,77.39799896,-0.12647626,-12.64762595,0.545369921,54.53699208
바른손 X 유성,0.743503664,74.35036643,0.558004594,55.80045936,0.648610833,64.86108335,0.753003205,75.30032051
바른손 X 신일,0.907449999,90.74499991,0.583260746,58.32607458,0.232908674,23.29086736,0.688866866,68.88668663
조광 X 유성,0.611916331,61.19163309,0.428770037,42.87700373,0.352291882,35.2291882,0.851885983,85.18859833
조광 X 신일,0.92904007,92.90400696,0.571010952,57.1010952,0.357824557,35.78245567,0.544193615,54.41936152
유성 X 신일,0.570586554,57.05865543,0.668858042,66.88580423,0.340601561,34.06015611,0.614338938,61.43389381
