name,before,during,after,long_after
EG X 비트컴퓨터,0.843651273,0.413467674,-0.53097061,-0.204731535
EG X 대유플러스,0.810219929,0.304477404,0.534394022,-0.377466858
EG X 대유에이텍,0.683521106,0.593046954,-0.473239178,-0.307854254
EG X 서한,0.54736754,-0.29305331,-0.616667336,-0.324274399
비트컴퓨터 X 대유플러스,0.837344339,0.658763623,-0.347429821,0.159102167
비트컴퓨터 X 대유에이텍,0.572399689,0.839106051,0.761805155,-0.0363754361
비트컴퓨터 X 서한,0.41292816,0.627089239,0.354881771,0.313652142
대유플러스 X 대유에이텍,0.758875291,0.847575866,-0.116004173,0.536183372
대유플러스 X 서한 ,0.41369699,0.473943466,-0.18081971,0.283427038
대유에이텍 X 서한,0.634296651,0.414003379,0.577889917,0.7205333
